name,keggId,formula,mass
2-Hydroxyethylamine~Aminoethanol~ethanol-amine~Ethanolamine,C00189,C2H7NO~C2H8NO,61.052755
boric acid,C12486,BH3O3,61.819205
Acid carbonate~Bicarbonate~Carbonic acid~carbonicacid~Dihydrogen carbonate~H2CO3~HCO(3-)~HCO3(-)~HCO3-~Hydrogencarbonate,C01353,H2CO3,62.00038
Dimethyl sulfide,C00580,C2H6S,62.01902
Nitrate~Nitric acid,C00244,HNO3~NO3,62.995625
Copper~Copper cation~Copper1~Copper2~Cu(I)~Cu(II)~Cu+~Cu1+~Cu2+,C00070,Cu,63.546
sulfur dioxide,C09306,O2S,63.96189
Zinc~Zinc cation~Zn(II)~Zn2+,C00038,Zn,65.39
propynoate,C00804,C3HO2,70.00547
alpha-aminopropionitrile~beta-aminopropionitrile,C05670~C05714,C3H6N2~C3H7N2,70.05309
acrylamide,C01659,C3H5NO,71.037105
acrylate~Methylglyoxal,C00511~C00546,C3H3O2~C3H4O2,72.02112
Butanal,C01412,C4H8O,72.05751
dehydroglycine~Iminoacetic acid~Iminoglycine,C15809,C2H3NO2,73.016365
"1-Amino-2-propanone~3-ammoniopropanal~Aminoacetone~ammonioacetone~N,N-dimethylformamide",C01888~C03134~C05665,C3H7NO~C3H8NO,73.052755
Glyoxalate~Glyoxylate~Glyoxylic acid,C00048,C2H2O3~C2HO3,74.00038
(S)-Lactaldehyde~3-hydroxypropanal~Acetol~D-Lactaldehyde~L-2-Hydroxypropionaldehyde~L-Lactaldehyde~Propanoate~Propanoic acid~Propionate~Propionate (n-C3:0)~Propionic acid,C00163~C00424~C00937~C00969~C05235,C3H5O2~C3H6O2,74.03677
butan-1-ol,C06142,C4H10O,74.07316
"propane-1,3-diamine",C00986,C3H12N2,74.08439
Aminoacetic acid~Gly~Glycine~nitroethane,C00037~C01837,C2H5NO2,75.032015
(R)-1-Amino-2-propanol~(R)-1-Aminopropan-2-ol~1-amino-propan-2-ol~1-Aminopropan-2-ol~Trimethylamine N-oxide,C01104~C03194~C05771,C3H10NO~C3H9NO,75.068405
Glycolate~Glycolic acid~Hydroxyacetic acid,C00160,C2H3O3~C2H4O3,76.01603
"(R)-Propane-1,2-diol~(S)-Propane-1,2-diol~propane-1,2-diol~propane-1,3-diol",C00583~C02457~C02912~C02917,C3H8O2,76.05242
chloroacetaldehyde,C06754,C2H3ClO,77.987235
Dimethyl sulfoxide,C11143,C2H6OS,78.01393
bromide,C01324,Br,79.904
Polyphosphate,C00404,HPO3,79.966315
2-chloroethanol,C06753,C2H5ClO,80.002885
hydrogen selenide,C01528,H2Se,80.97565
Bisulfite~H2SO3~HSO3-~Hydrogen sulfite~Sulfite~Sulfite (HSO3)-,C00094,H2O3S~H2SO3~O3S,81.97245
Phosphonate,C06701,H3O3P,81.981965
1-methylpyrrolinium,C06178,C5H10N,84.08132
2-hydroxy-2-methylpropanenitrile,C02659,C4H7NO,85.052755
"butane-2,3-dione",C00741,C4H6O2,86.03677
2-aminoacrylic acid,C02218,C3H5NO2,87.032015
4-Aminobutanal~4-Aminobutyraldehyde~4-ammoniobutanal~Butyraldehyde. 4-amino-,C00555,C4H10NO~C4H9NO,87.068405
Oxidized ferredoxin~Reduced ferredoxin,C00138~C00139,FeS,87.90701
2-Oxopropanoate~2-Oxopropanoic acid~3-oxopropanoate~Malonate semialdehyde~Pyroracemic acid~Pyruvate~Pyruvic acid,C00022~C00222,C3H3O3~C3H4O3,88.01603
(R)-acetoin~Butyrate (n-C4:0),C00246~C00810,C4H8O2,88.05242
1.4-Butanediamine~1.4-Diaminobutane~PUTR~Putrescine~Tetramethylenediamine,C00134,C4H12N2~C4H14N2,88.10004
Oxamate,C01444,C2H3NO3,89.011275
3-Aminopropanoate~3-Aminopropionic acid~ALA~alanine~beta-Alanine~beta-alanine zwitterion~D-2-Aminopropionic acid~D-Ala~D-Alanine~D-alanine zwitterion~L-2-Aminopropionic acid~L-Alanine~L-alanine zwitterion~L-alpha-Alanine~Sarcosine,C00041~C00099~C00133~C00213~C01401,C3H7NO2,89.047665
cis-3-Chloroallyl aldehyde~trans-3-Chloroallyl aldehyde,C06613~C16348,C3H3ClO,89.987235
Ethanedioic acid~Oxalate~oxalate(2-)~Oxalic acid,C00209,C2H2O4~C2O4,89.99529
(R)-Lactate~(S)-Lactate~3-Hydroxypropanoate~D-Glyceraldehyde~D-Lactate~Dihydroxyacetone~Glycerone~L-Lactate~L-Lactic acid~LCTT,C00184~C00186~C00256~C00577~C01013,C3H5O3~C3H6O3,90.03168
"(R,R)-butane-2,3-diol",C03044,C4H10O2,90.06807
3-chloroprop-2-en-1-ol~cis-3-chloroprop-2-en-1-ol,C06611~C06612,C3H5ClO,92.002885
1.2.3-Propanetriol~1.2.3-Trihydroxypropane~GLYC~Glycerin~Glycerol,C00116,C3H8O3,92.04733
aniline,C00292,C6H7N,93.057845
chloroacetate,C06755,C2H2ClO2,93.982145
phenol,C00146,C6H6O,94.04186
methylselenol,C05703,CH4Se,94.9913
methanesulfonate,C11145,CH4O3S,95.9881
protoanemonin,C07090,C5H4O2,96.02112
SLF~Sulfate~Sulfuric acid,C00059,H2O4S~H2SO4~O4S,97.96736
"1,2-dichloroethane",C06752,C2H4Cl2,97.969
Orthophosphate~Orthophosphoric acid~Phosphate~Phosphoric acid,C00009,H3O4P~H3PO4~HO4P,97.976875
cyclohexanone,C00414,C6H10O,98.07316
(2R)-2-hydroxy-2-methylbutanenitrile,C18796,C5H9NO,99.068405
cyclohexanol,C00854,C6H12O,100.08881
1-aminocyclopropanecarboxylic acid zwitterion,C01234,C4H7NO2,101.047665
5-aminopentanal,C12455,C5H12NO,101.084055
(S)-Methylmalonate semialdehyde~2-Ketobutyric acid~2-methyl-3-oxopropanoate~2-Oxobutanoate~2-Oxobutanoic acid~2-Oxobutyrate~2-Oxobutyric acid~3-Oxo-2-methylpropanoate~3-Oxobutanoic acid~4-Oxobutanoate~Acetoacetate~Acetoacetic acid~alpha-Ketobutyrate~alpha-Ketobutyric acid~beta-Ketobutyric acid~Methylmalonate semialdehyde~methylmalonate-semialdehyde~Succinate semialdehyde~Succinic semialdehyde,C00109~C00164~C00232~C00349~C06002,C4H5O3~C4H6O3,102.03168
Betaine aldehyde,C00576,C5H11NO~C5H12NO,102.09188
"1,5-Diaminopentane~Cadaverine~N-methylputrescinium(2+)",C01672~C02723,C5H14N2~C5H16N2,102.11569
2-Aminomalonate semialdehyde,C11822,C3H5NO3,103.026925
benzonitrile,C09814,C7H5N,103.042195
"(S)-3-aminoisobutyric acid zwitterion~4-Aminobutanoate~4-Aminobutanoic acid~4-Aminobutylate~4-Aminobutyrate~4-Aminobutyric acid~4-Aminobytanoate~GABA~gamma-Aminobutyric acid~N,N-dimethylglycine zwitterion",C00334~C01026~C03284,C4H9NO2,103.063315
2-Hydroxy-3-oxopropanoate~3-hydroxypyruvate~Hydroxypyruvate,C00168~C01146,C3H3O4~C3H4O4,104.01094
Allophanate~Allophanic acid~Urea-1-carboxylate,C01010,C2H3N2O3~C2H4N2O3,104.02217
(R)-3-hydroxybutanoate~(S)-3-Hydroxyisobutyrate~3-hydroxy-2-isobutyrate~3-Hydroxy-2-methylpropanoate~3-hydroxy-isobutyrate~3-Hydroxyisobutyrate~3-Hydroxyisobutyric acid~gamma-hydroxybutyrate,C00989~C01089~C01188~C06001,C4H7O3~C4H8O3,104.04733
"2,3-diaminopropionate",C06393,C3H8N2O2,104.05856
Bilineurine~Choline,C00114,C5H13NO~C5H14NO,104.10753
2-Amino-3-hydroxypropionic acid~3-Hydroxyalanine~D-Serine~DL-Serine~L-2-Amino-3-hydroxypropionic acid~L-3-Hydroxy-alanine~L-Serine~Serine,C00065~C00716~C00740,C3H7NO3,105.042575
3-chloroacrylate~cis-3-Chloroacrylic acid,C06614~C06615,C3H2ClO2,105.982145
(R)-Glycerate~D-Glycerate~Glycerate~Glyceric acid,C00258,C3H5O4~C3H6O4,106.02659
benzaldehyde,C00193,C7H6O,106.04186
"1,4-benzoquinone",C00472,C6H4O2,108.02112
3-phenylphenol~4-methylphenol~benzyl alcohol~p-Cresol,C00556~C01467~C01468,C7H8O,108.05751
hypotaurine zwitterion,C00519,C2H7NO2S,109.019735
"(E)-1,3-dichloropropene~(Z)-1,3-dichloropropene",C06609~C06610,C3H4Cl2,109.969
catechol~Hydroquinone,C00090~C00530,C6H6O2,110.03677
Imidazole acetaldehyde~Imidazole-4-acetaldehyde,C05130,C5H6N2O,110.048
Cytosine,C00380,C4H5N3O,111.043245
Uracil,C00106,C4H4N2O2,112.02726
Cadmium~Cd2+,C01413,Cd,112.411
Thiosulfate~trioxidosulfanidosulfate(1-),C00320,H2O3S2~HO3S2,112.936695
(S)-1-Pyrroline-5-carboxylate~1-Pyrroline-2-carboxylate~1-Pyrroline-2-carboxylic acid~1-Pyrroline-5-carboxylate~delta1-Pyrroline 2-carboxylate~L-1-Pyrroline-5-carboxylate,C03564~C03912~C04322,C5H6NO2~C5H7NO2,113.047665
creatinine,C00791,C4H7N3O,113.058895
H2S2O3~Hyposulfite~Thiosulfate,C05529,H2S2O3,113.94452
2-Hydroxy-2.4-pentadienoate~2-Hydroxypenta-2.4-dienoate~2-Oxopent-4-enoate~cis-2-Hydroxypenta-2.4-dienoate~cis-acetylacrylic acid~Oxopent-4-enoate,C00596~C07091,C5H5O3~C5H6O3,114.03168
"3-cyano-L-alanine~5,6-dihydrouracil~L-3-Cyanoalanine~L-beta-Cyanoalanine~N-methylhydantoin",C00429~C02512~C02565,C4H6N2O2,114.04291
2-hydroxycyclohexan-1-one~hexano-6-lactone,C01147~C01880,C6H10O2,114.06807
2-Pyrrolidinecarboxylic acid~D-Proline~L-Proline,C00148~C00763,C5H9NO2,115.063315
Fumarate~fumarate(2-)~Fumaric acid~maleate(2-)~trans-Butenedioic acid,C00122~C01384,C4H2O4~C4H4O4,116.01094
2-Keto-3-methylbutyric acid~2-keto-isovalerate~2-Ketovaline~2-Oxo-3-methylbutanoate~2-Oxoisopentanoate~2-Oxoisovalerate~3-Methyl-2-oxobutanoate~3-Methyl-2-oxobutanoic acid~3-Methyl-2-oxobutyric acid~3MOB~alpha-Ketovaline,C00141,C5H7O3~C5H8O3,116.04733
Hexanoate (n-C6:0)~Hexanoic acid,C01585,C6H12O2,116.08372
(S)-2-Amino-3-oxobutanoic acid~Aspartate beta-semialdehyde~L-2-Amino-3-oxobutanoate~L-2-Amino-3-oxobutanoic acid~L-2-Amino-acetoacetate~L-Aspartate 4-semialdehyde~L-Aspartate4-semialdehyde~L-Aspartic 4-semialdehyde,C00441~C03508,C4H7NO3,117.042575
2.3-Benzopyrrole~indol~Indole~phenylacetonitrile,C00463~C16074,C8H7N,117.057845
2-Amino-3-methylbutyric acid~BET~Betaine~Glycine betaine~L-Valine~L-valine zwitterion~N.N.N-Trimethylglycine~Trimethylaminoacetate~Trimethylammonioacetate,C00183~C00719,C5H11NO2,117.078965
Butanedionic acid~Ethylenesuccinic acid~methylmalonate(2-)~Succinate~succinate(2-)~Succinic acid,C00042~C02170,C4H4O4~C4H6O4,118.02659
"L-2,4-diazaniumylbutyrate",C03283,C4H11N2O2,118.07421
2-Amino-3-hydroxybutyric acid~2-Amino-4-hydroxybutyric acid~2-methylserine zwitterion~L-Allo-threonine~L-allothreonine zwitterion~L-Homoserine~L-homoserine zwitterion~L-Threonine~L-threonine zwitterion~threonine,C00188~C00263~C02115~C05519,C4H9NO3,119.058225
3-mercaptopyruvate~Mercaptopyruvate,C00957,C3H3O3S~C3H4O3S,119.9881
m-tolualdehyde~o-tolualdehyde~p-tolualdehyde~Phenylacetaldehyde,C00601~C06758~C07209~C07214,C8H8O,120.05751
D-Cysteine~L-2-Amino-3-mercaptopropionic acid~L-Cysteine~L-cysteine zwitterion,C00097~C00793,C3H7NO2S,121.019735
benzamide,C09815,C7H7NO,121.052755
Phenethylamine~phenylethylamine,C05332,C8H11N~C8H12N,121.089145
phenylboronic acid,C16200,C6H7BO2,121.855595
3-hydroxybenzaldehyde~4-hydroxybenzaldehyde~benzoate,C00180~C00633~C03067,C7H5O2~C7H6O2,122.03677
Niacinamide~NICO~Nicotinamide~Nicotinic acid amide~Vitamin PP,C00153,C6H6N2O,122.048
2-Methylbenzyl alcohol~2-phenylethanol~3-methylbenzyl alcohol~4-ethylphenol~4-methylbenzyl alcohol,C05853~C06757~C07213~C07216~C13637,C8H10O,122.07316
Arsenite,C06697,AsO3,122.90632
3-Pyridinecarboxylic acid~Niacin~Nicotinate~Nicotinic acid~nitrobenzene,C00253~C06813,C6H4NO2~C6H5NO2,123.032015
sulfoacetaldehyde,C00593,C2H3O4S,123.98301
3-hydroxybenzyl alcohol~3-methylcatechol~4-Hydroxybenzyl alcohol~4-methylcatechol~salicyl alcohol,C02323~C02923~C03351~C06730~C17467,C7H8O2,124.05242
1-methylimidazole-4-acetaldehyde,C05827,C6H8N2O,124.06365
Taurine,C00245,C2H7NO3S,125.014645
5-methylcytosine,C02376,C5H7N3O,125.058895
N(tele)-methylhistaminium,C05127,C6H12N3,125.095285
Isethionic acid,C05123,C2H6O4S,125.99866
"benzene-1,2,4-triol",C02814,C6H6O3,126.03168
4-Imidazoleacetate~5-Methyluracil~Imidazole-4-acetate~Imidazoleacetic acid~Thymine,C00178~C02835,C5H5N2O2~C5H6N2O2,126.04291
selenite,C05684,O3Se,126.94473
Methylselenic acid,C18902,CH3O2Se,126.98112
1.2-Didehydropiperidine-2-carboxylate~2.3.4.5-Tetrahydropyridine-2-carboxylate~Delta-1-piperideine-6-L-carboxylate~delta1-Piperideine-2-carboxylate~delta1-Piperideine-6-L-carboxylate,C00450~C04092,C6H9NO2,127.063315
Barbiturate,C00813,C4H4N2O3,128.02217
3-fluorocatechol~4-Fluorocatechol,C16472~C16473,C6H5FO2,128.027345
ammelide,C08734,C3H4N4O2,128.0334
"(2Z,4Z)-2-Hydroxyhexa-2,4-dienoic acid~2-Hydroxy-cis-hex-2,4-dienoate",C11354~C20240,C6H7O3~C6H8O3,128.04733
"5,6-dihydrothymine~gamma-amino-gamma-cyanobutanoic acid",C00906~C05715,C5H7N2O2~C5H8N2O2,128.05856
cyclohexanecarboxylate,C09822,C7H11O2,128.08372
"(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylate~(3R.5S)-1-Pyrroline-3-hydroxy-5-carboxylate~1-Pyrroline-4-hydroxy-2-carboxylate~3-Hydroxy-L-1-pyrroline-5-carboxylate~L-1-Pyrroline-3-hydroxy-5-carboxylate~Pidolic acid",C01879~C04281~C04282,C5H6NO3~C5H7NO3,129.042575
4-acetamidobutanal,C05936,C6H11NO2,129.078965
"2,5-dioxopentanoate~4-Oxoglutarate semialdehyde~citraconate(2-)~itaconate(2-)",C00433~C00490~C02226~C02800,C5H4O4~C5H5O4~C5H6O4,130.02659
(3S)-3-Methyl-2-oxopentanoate~(3S)-3-Methyl-2-oxopentanoic acid~(S)-3-Methyl-2-oxopentanoate~(S)-3-Methyl-2-oxopentanoic acid~(S)-3-methyl-2-oxovalerate~2-hydroxyhexano-6-lactone~2-keto-3-methyl-valerate~2-keto-3-methylvalerate~2-ketoisocaproate~2-Oxo-3-methylvalerate~2-Oxoisocaproate~3-Methyl-2-oxopentanoate~3MOP~4-Methyl-2-oxopentanoate~4MOP~6-oxohexanoate~S-3-Methyl-2-oxopentanoate,C00233~C00671~C03465~C06102~C12314,C6H10O3~C6H9O3,130.06298
N-acetylputrescinium,C02714,C6H15N2O,130.1106
Agmatine~agmatinium(2+),C00179,C5H14N4~C5H16N4,130.12183
4-trimethylammoniobutanal,C01149,C7H16NO,130.12318
Iminoaspartate~iminosuccinate,C05840,C4H4NO4~C4H5NO4,131.021835
(S)-4-Amino-5-oxopentanoate~(S)-4-amino-5-oxopentanoic acid zwitterion~5-Amino-4-oxopentanoate~5-Amino-4-oxovaleric acid~5-amino-levulinate~5-Aminolevulinate~cis-4-Hydroxy-D-proline~L-Glutamate 1-semialdehyde~L-Glutamate 5-semialdehyde~L-Glutamate gamma-semialdehyde~L-glutamate-gamma-semialdehyde~L-Glutamate1-semialdehyde~L-Glutamate5-semialdehyde~L-glutamic 5-semialdehyde zwitterion~trans-4-Hydroxy-L-proline~trans-4-hydroxy-L-proline zwitterion,C00430~C01157~C01165~C03440~C03741,C5H9NO3,131.058225
creatine,C00300,C4H9N3O2,131.069455
(2S)-alpha-2-Amino-4-methylvaleric acid~(2S)-alpha-Leucine~2-Amino-3-methylvaleric acid~2-Amino-4-methylvaleric acid~l-iso-leucine~L-Isoleucine~L-isoleucine zwitterion~L-Leucine~L-leucine zwitterion,C00123~C00407,C6H13NO2,131.094615
N-carbamoylputrescinium(1+),C00436,C5H14N3O,131.105845
2-Oxobutanedioic acid~keto-Oxaloacetate~Oxalacetic acid~Oxaloacetate~Oxaloacetic acid~Oxosuccinic acid,C00036,C4H2O5~C4H4O5,132.00585
Oxalureate,C00802,C3H4N2O4,132.01708
"(S)-2-Acetolactate~(S)-2-Hydroxy-2-methyl-3-oxobutanoate~2-aceto-lactate~2-Acetolactate~2-Oxo-3-hydroxyisovalerate~3-Hydroxy-3-methyl-2-oxobutanoate~3-Hydroxy-3-methyl-2-oxobutanoic acid~4,5-dihydroxy-2,3-pentanedione~4-Hydroxy-2-oxopentanoate~4-Hydroxy-2-oxovalerate~5-hydroxylevulinic acid~ALCTT~S-2-Acetolactate",~C00900~C03589~C04181~C06010~C11838,C5H7O4~C5H8O4,132.04224
2-Aminosuccinamic acid~L-Asparagine~L-asparagine zwitterion~N-carbamoyl-beta-alaninate~N-carbamoylsarcosinate,C00152~C01043~C02642,C4H7N2O3~C4H8N2O3,132.05347
6-hydroxyhexanoate,C06103,C6H11O3,132.07863
(S)-2.5-Diaminopentanoate~(S)-2.5-Diaminopentanoic acid~(S)-2.5-Diaminovaleric acid~2.5-Diaminopentanoate~2.5-Diaminopentanoic acid~2.5-Diaminovaleric acid~L-Ornithine~L-ornithinium(1+)~Ornithine,C00077~C01602,C5H12N2O2~C5H13N2O2,132.08986
2-Aminosuccinic acid~Aspartate~Aspartic acid~L-Aspartate~L-aspartate(1-)~L-Aspartic acid,C00049,C4H6NO4~C4H7NO4,133.037485
mandelonitrile,C00561,C8H7NO,133.052755
(R)-malate(2-)~(S)-Malate~2-Hydroxybutanedioic acid~D-Malate~L-2-Hydroxybutanedioic acid~L-Apple acid~L-Malate~L-Malic acid~MALA~Malate~Malic acid,C00149~C00497~C00711,C4H4O5~C4H6O5,134.0215
(-)-Ureidoglycolate,C00603,C3H5N2O4,134.03273
"(2R)-2.3-Dihydroxy-3-methylbutanoate~(R)-2,3-Dihydroxy-3-methylbutanoate~(R)-2.3-Dihydroxy-3-methylbutanoate~(R)-2.3-Dihydroxy-isovalerate~(R)-2.3-Dihydroxy-isovaleric acid~1-deoxy-D-xylulose~2,3-Dihydroxy-3-methylbutanoate~2-Deoxy-beta-D-erythro-pentose~2-Deoxy-D-erythro-pentose~2-Deoxy-D-ribose~2.3-Dihydroxy-3-methylbutanoate~2.3-Dihydroxy-isovalerate~2.3-Dihydroxy-isovaleric acid~Deoxyribose~R-2-3-Dihydroxy-3-methylbutanoate~Thyminose",C01801~C04039~C04272~C06257,C5H10O4~C5H9O4,134.05789
"6,7-Dihydropteridine",C05649,C6H6N4,134.05923
2-Amino-4-mercaptobutyric acid~Homocysteine~L-2-Amino-4-mercaptobutyric acid~L-Homocysteine~L-homocysteine zwitterion,C00155~C05330,C4H9NO2S,135.035385
4-Hydroxy-L-threonine,C06056,C4H9NO4,135.053135
6-Aminopurine~Adenine,C00147,C5H5N5,135.054475
2-phenylacetamide,C02505,C8H9NO,135.068405
Hypoxanthine~HYXN~Purine-6-ol,C00262,C5H4N4O,136.03849
(4-hydroxyphenyl)acetaldehyde~3-methylsalicylaldehyde~4'-hydroxyacetophenone~4-Hydroxyphenylacetaldehyde~m-toluate~o-toluate~p-toluate~phenylacetate~Phenylacetic acid,C00548~C01454~C03765~C07086~C07211~C07215~C10700~C14087,C8H7O2~C8H8O2,136.05242
"5,6,7,8-tetrahydropteridine",C05650,C6H8N4,136.07488
(4R)-limonene~(4S)-limonene,C00521~C06099,C10H16,136.1252
Thiobenzamide,C16281,C7H7NS,137.029915
2-Aminobenzoate~4-Aminobenzoate~4-Aminobenzoic acid~ABEE~Anthranilate~Anthranilic acid~o-Aminobenzoic acid~p-Aminobenzoate~Vitamin L1,C00108~C00568,C7H6NO2~C7H7NO2,137.047665
Tyramine,C00483,C8H11NO~C8H12NO,137.084055
3-hydroxybenzoate~4-Hydroxybenzoate~4-Hydroxybenzoic acid~Hydroxybenzenecarboxylic acid~Hydroxybenzoic acid~Salicylate,C00156~C00587~C00805,C7H5O3~C7H6O3,138.03168
trans-urocanate,C00785,C6H5N2O2,138.04291
2-(4-hydroxyphenyl)ethanol~4-(1-hydroxyethyl)phenol,C06044~C13638,C8H10O2,138.06807
4-nitrophenolate,C00870,C6H4NO3,139.026925
4-Amino-2-methyl-5-pyrimidinemethanol~4-Amino-5-hydroxymethyl-2-methylpyrimidine~L-Histidinal~Toxopyrimidine,C01279~C01929,C6H10N3O~C6H9N3O,139.074545
sulfoacetate,C14179,C2H4O5S,139.97792
Acetyl phosphate~acetyl phosphate(2-)~acetyl-phosphate~Acetylphosphate,C00227,C2H3O5P~C2H5O5P,139.987435
4-carboxylatomethylenebut-2-en-4-olide~trans-dienelactone,C04431~C12838,C6H3O4,140.01094
2-fluorobenzoate~3-fluorobenzoate~4-fluorobenzoate,C02359~C02364~C02371,C7H4FO2,140.027345
4-Hydroxymethylcatechol,C14110,C7H8O3,140.04733
Carbamoyl phosphate~carbamoyl phosphate(2-)~carbamoyl-phosphate~Carbamoylphosphate,C00169,CH2NO5P~CH4NO5P,140.98268
"1,4,5,6-tetrahydro-6-oxonicotinate",C04226,C6H6NO3,141.042575
L-Histidinol~L-histidinol(1+),C00860,C6H11N3O~C6H12N3O,141.090195
Arsenate~Arsenate ion~Arsenic acid~Orthoarsenic acid,C01478,H3AsO4,141.924705
"(+)-Muconolactone~(S)-5-Oxo-2.5-dihydrofuran-2-acetate~2-Oxo-2,3-dihydrofuran-5-acetate~2-Oxo-2.3-dihydrofuran-5-acetate~2-Oxo-2.5-dihydrofuran-5-acetate~2.5-Dihydro-5-oxofuran-2-acetate~3-Oxoadipate enol-lactone~3-oxoadipate-enol-lactone~4-Carboxymethyl-4-hydroxyisocrotonolactone~4.5-Dihydro-5-oxofuran-2-acetate~5-Oxo-2.5-dihydrofuran-2-acetate~5-oxo-4,5-dihydro-2-furylacetate~5-Oxo-4.5-dihydrofuran-2-acetate~cis,cis-muconate~Muconolactone",C02480~C03586~C04105,C6H4O4~C6H5O4~C6H6O4,142.02659
ectoine zwitterion,C06231,C6H10N2O2,142.07421
1-methylnaphthalene~2-methylnaphthalene,C14082~C14098,C11H10,142.07825
4-Methyl-5-(2-hydroxyethyl)-thiazole~5-(2-Hydroxyethyl)-4-methylthiazole,C04294,C6H9NOS,143.040475
crotonobetaine,C04114,C7H13NO2,143.094615
APO_LIPO,,C8H17NO,143.131005
3-chlorocatechol~4-chlorocatechol,C02375~C05618,C6H5ClO2,143.997795
4-guanidiniumylbutanamide(1+),C03078,C5H13N4O,144.10109
octanoate (n-C8:0),C06423,C8H16O2,144.11502
selenate,C05697,O4Se,144.95529
2-Aminoadipate 6-semialdehyde~2-Oxo-6-aminocaproate~4-acetamidobutanoate~6-Amino-2-oxohexanoate~L-2-Aminoadipate 6-semialdehyde~L-allysine,C02946~C03239~C04076,C6H10NO3~C6H11NO3,145.073875
4-guanidinobutanoic acid zwitterion,C01035,C5H11N3O2,145.085105
N-(3-Aminopropyl)-1.4-butane-diamine~Spermidine,C00315,C7H19N3,145.157885
"4-amino-6-chloro-1,3,5-triazin-2-ol",C08735,C3H3ClN4O,145.999515
2-Ketoglutaric acid~2-Oxoglutarate~alpha-Ketoglutaric acid~Oxoglutaric acid,C00026,C5H4O5~C5H6O5,146.0215
(R)-3-Hydroxy-3-methyl-2-oxopentanoate~(S)-2-Aceto-2-hydroxybutanoate~(S)-2-hydroxy-2-ethyl-3-oxobutanoate~2-Aceto-2-hydroxybutanoate~2-Dehydropantoate~4-hydroxy-2-oxohexanoate~4-Hydroxy-2-oxohexanoic acid~adipate(2-)~S-2-Aceto-2-hydroxybutanoate,C00659~C00966~C06006~C06104~C06762~C14463,C6H10O4~C6H8O4~C6H9O4,146.05789
3-ureido-isobutyrate~D-glutamine~L-2-Aminoglutaramic acid~L-Glutamine~L-glutamine zwitterion,C00064~C00819~C05100,C5H10N2O3~C5H9N2O3,146.06912
